Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530100707
Firmware Version,3.0
Calibration Date,06/18/2013
Test Name,8530C_2-5_002
Test Start Time,12:40:35 PM
Test Start Date,07/17/2014
Test Length [D:H:M],0:0:53
Test Interval [M:S],0:1
Mass Average [mg/m3],0.006
Mass Minimum [mg/m3],0.000
Mass Maximum [mg/m3],0.052
Mass TWA [mg/m3],0.001
Photometric User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,3197

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.008,,
2,0.008,,
3,0.009,,
4,0.008,,
5,0.007,,
6,0.008,,
7,0.008,,
8,0.009,,
9,0.008,,
10,0.007,,
11,0.007,,
12,0.007,,
13,0.007,,
14,0.007,,
15,0.008,,
16,0.011,,
17,0.009,,
18,0.008,,
19,0.008,,
20,0.007,,
21,0.008,,
22,0.007,,
23,0.007,,
24,0.007,,
25,0.007,,
26,0.008,,
27,0.007,,
28,0.009,,
29,0.010,,
30,0.007,,
31,0.006,,
32,0.006,,
33,0.008,,
34,0.007,,
35,0.007,,
36,0.009,,
37,0.009,,
38,0.007,,
39,0.007,,
40,0.007,,
41,0.008,,
42,0.008,,
43,0.008,,
44,0.007,,
45,0.008,,
46,0.007,,
47,0.008,,
48,0.008,,
49,0.009,,
50,0.009,,
51,0.007,,
52,0.007,,
53,0.008,,
54,0.008,,
55,0.009,,
56,0.013,,
57,0.020,,
58,0.021,,
59,0.018,,
60,0.018,,
61,0.016,,
62,0.011,,
63,0.008,,
64,0.008,,
65,0.007,,
66,0.007,,
67,0.008,,
68,0.009,,
69,0.010,,
70,0.010,,
71,0.009,,
72,0.008,,
73,0.008,,
74,0.007,,
75,0.009,,
76,0.009,,
77,0.009,,
78,0.008,,
79,0.009,,
80,0.009,,
81,0.010,,
82,0.010,,
83,0.011,,
84,0.009,,
85,0.008,,
86,0.009,,
87,0.010,,
88,0.008,,
89,0.009,,
90,0.009,,
91,0.008,,
92,0.008,,
93,0.009,,
94,0.008,,
95,0.008,,
96,0.009,,
97,0.008,,
98,0.009,,
99,0.008,,
100,0.008,,
101,0.009,,
102,0.009,,
103,0.009,,
104,0.009,,
105,0.009,,
106,0.009,,
107,0.008,,
108,0.009,,
109,0.009,,
110,0.008,,
111,0.008,,
112,0.008,,
113,0.008,,
114,0.008,,
115,0.009,,
116,0.009,,
117,0.009,,
118,0.009,,
119,0.009,,
120,0.008,,
121,0.008,,
122,0.008,,
123,0.008,,
124,0.008,,
125,0.009,,
126,0.008,,
127,0.008,,
128,0.009,,
129,0.009,,
130,0.011,,
131,0.009,,
132,0.009,,
133,0.009,,
134,0.008,,
135,0.008,,
136,0.008,,
137,0.008,,
138,0.008,,
139,0.009,,
140,0.009,,
141,0.008,,
142,0.007,,
143,0.008,,
144,0.009,,
145,0.009,,
146,0.008,,
147,0.009,,
148,0.009,,
149,0.009,,
150,0.008,,
151,0.009,,
152,0.008,,
153,0.009,,
154,0.008,,
155,0.009,,
156,0.009,,
157,0.010,,
158,0.009,,
159,0.008,,
160,0.009,,
161,0.009,,
162,0.008,,
163,0.008,,
164,0.008,,
165,0.008,,
166,0.008,,
167,0.009,,
168,0.009,,
169,0.009,,
170,0.009,,
171,0.009,,
172,0.009,,
173,0.009,,
174,0.009,,
175,0.008,,
176,0.009,,
177,0.009,,
178,0.008,,
179,0.008,,
180,0.009,,
181,0.009,,
182,0.010,,
183,0.009,,
184,0.008,,
185,0.008,,
186,0.009,,
187,0.007,,
188,0.007,,
189,0.008,,
190,0.008,,
191,0.008,,
192,0.008,,
193,0.008,,
194,0.008,,
195,0.008,,
196,0.008,,
197,0.007,,
198,0.008,,
199,0.009,,
200,0.008,,
201,0.008,,
202,0.008,,
203,0.009,,
204,0.009,,
205,0.008,,
206,0.007,,
207,0.007,,
208,0.009,,
209,0.009,,
210,0.008,,
211,0.009,,
212,0.009,,
213,0.008,,
214,0.008,,
215,0.009,,
216,0.009,,
217,0.009,,
218,0.008,,
219,0.008,,
220,0.008,,
221,0.009,,
222,0.009,,
223,0.010,,
224,0.010,,
225,0.008,,
226,0.008,,
227,0.009,,
228,0.009,,
229,0.008,,
230,0.008,,
231,0.008,,
232,0.009,,
233,0.009,,
234,0.008,,
235,0.009,,
236,0.009,,
237,0.009,,
238,0.010,,
239,0.010,,
240,0.010,,
241,0.010,,
242,0.010,,
243,0.009,,
244,0.009,,
245,0.009,,
246,0.009,,
247,0.010,,
248,0.011,,
249,0.010,,
250,0.010,,
251,0.009,,
252,0.009,,
253,0.009,,
254,0.009,,
255,0.009,,
256,0.009,,
257,0.009,,
258,0.008,,
259,0.009,,
260,0.009,,
261,0.009,,
262,0.009,,
263,0.009,,
264,0.009,,
265,0.009,,
266,0.009,,
267,0.009,,
268,0.011,,
269,0.011,,
270,0.008,,
271,0.009,,
272,0.010,,
273,0.010,,
274,0.010,,
275,0.009,,
276,0.009,,
277,0.010,,
278,0.010,,
279,0.011,,
280,0.011,,
281,0.010,,
282,0.011,,
283,0.010,,
284,0.010,,
285,0.010,,
286,0.009,,
287,0.009,,
288,0.010,,
289,0.011,,
290,0.011,,
291,0.010,,
292,0.011,,
293,0.011,,
294,0.011,,
295,0.010,,
296,0.011,,
297,0.011,,
298,0.011,,
299,0.012,,
300,0.011,,
301,0.012,,
302,0.011,,
303,0.011,,
304,0.012,,
305,0.014,,
306,0.013,,
307,0.013,,
308,0.013,,
309,0.013,,
310,0.012,,
311,0.013,,
312,0.013,,
313,0.011,,
314,0.012,,
315,0.012,,
316,0.011,,
317,0.011,,
318,0.012,,
319,0.012,,
320,0.012,,
321,0.011,,
322,0.011,,
323,0.011,,
324,0.011,,
325,0.011,,
326,0.011,,
327,0.011,,
328,0.011,,
329,0.011,,
330,0.011,,
331,0.011,,
332,0.011,,
333,0.011,,
334,0.011,,
335,0.011,,
336,0.011,,
337,0.011,,
338,0.011,,
339,0.011,,
340,0.011,,
341,0.011,,
342,0.010,,
343,0.010,,
344,0.010,,
345,0.011,,
346,0.010,,
347,0.009,,
348,0.010,,
349,0.010,,
350,0.010,,
351,0.010,,
352,0.009,,
353,0.008,,
354,0.008,,
355,0.009,,
356,0.008,,
357,0.008,,
358,0.009,,
359,0.009,,
360,0.010,,
361,0.009,,
362,0.008,,
363,0.008,,
364,0.009,,
365,0.009,,
366,0.011,,
367,0.013,,
368,0.009,,
369,0.009,,
370,0.008,,
371,0.008,,
372,0.008,,
373,0.008,,
374,0.009,,
375,0.009,,
376,0.010,,
377,0.010,,
378,0.009,,
379,0.009,,
380,0.009,,
381,0.009,,
382,0.009,,
383,0.009,,
384,0.009,,
385,0.009,,
386,0.010,,
387,0.009,,
388,0.008,,
389,0.008,,
390,0.008,,
391,0.008,,
392,0.008,,
393,0.008,,
394,0.008,,
395,0.008,,
396,0.008,,
397,0.008,,
398,0.008,,
399,0.009,,
400,0.008,,
401,0.008,,
402,0.007,,
403,0.007,,
404,0.008,,
405,0.009,,
406,0.008,,
407,0.008,,
408,0.008,,
409,0.007,,
410,0.008,,
411,0.008,,
412,0.008,,
413,0.007,,
414,0.009,,
415,0.009,,
416,0.009,,
417,0.008,,
418,0.008,,
419,0.008,,
420,0.008,,
421,0.008,,
422,0.008,,
423,0.007,,
424,0.007,,
425,0.007,,
426,0.007,,
427,0.007,,
428,0.007,,
429,0.007,,
430,0.009,,
431,0.010,,
432,0.007,,
433,0.007,,
434,0.007,,
435,0.007,,
436,0.006,,
437,0.007,,
438,0.007,,
439,0.007,,
440,0.007,,
441,0.007,,
442,0.007,,
443,0.006,,
444,0.007,,
445,0.008,,
446,0.007,,
447,0.006,,
448,0.006,,
449,0.007,,
450,0.007,,
451,0.007,,
452,0.006,,
453,0.006,,
454,0.007,,
455,0.007,,
456,0.006,,
457,0.007,,
458,0.006,,
459,0.007,,
460,0.006,,
461,0.006,,
462,0.006,,
463,0.006,,
464,0.006,,
465,0.007,,
466,0.007,,
467,0.006,,
468,0.006,,
469,0.006,,
470,0.006,,
471,0.007,,
472,0.007,,
473,0.007,,
474,0.006,,
475,0.007,,
476,0.007,,
477,0.007,,
478,0.006,,
479,0.007,,
480,0.006,,
481,0.006,,
482,0.006,,
483,0.006,,
484,0.006,,
485,0.006,,
486,0.006,,
487,0.007,,
488,0.007,,
489,0.007,,
490,0.007,,
491,0.007,,
492,0.006,,
493,0.006,,
494,0.007,,
495,0.009,,
496,0.007,,
497,0.006,,
498,0.007,,
499,0.007,,
500,0.006,,
501,0.006,,
502,0.006,,
503,0.006,,
504,0.007,,
505,0.006,,
506,0.007,,
507,0.007,,
508,0.006,,
509,0.006,,
510,0.006,,
511,0.006,,
512,0.006,,
513,0.007,,
514,0.007,,
515,0.006,,
516,0.007,,
517,0.007,,
518,0.007,,
519,0.007,,
520,0.007,,
521,0.006,,
522,0.007,,
523,0.007,,
524,0.006,,
525,0.007,,
526,0.007,,
527,0.008,,
528,0.008,,
529,0.008,,
530,0.007,,
531,0.007,,
532,0.007,,
533,0.007,,
534,0.007,,
535,0.007,,
536,0.007,,
537,0.008,,
538,0.007,,
539,0.008,,
540,0.009,,
541,0.009,,
542,0.008,,
543,0.008,,
544,0.008,,
545,0.008,,
546,0.008,,
547,0.008,,
548,0.007,,
549,0.007,,
550,0.007,,
551,0.007,,
552,0.008,,
553,0.008,,
554,0.009,,
555,0.008,,
556,0.007,,
557,0.008,,
558,0.008,,
559,0.008,,
560,0.008,,
561,0.007,,
562,0.008,,
563,0.008,,
564,0.008,,
565,0.009,,
566,0.009,,
567,0.008,,
568,0.008,,
569,0.007,,
570,0.007,,
571,0.007,,
572,0.008,,
573,0.008,,
574,0.008,,
575,0.007,,
576,0.007,,
577,0.007,,
578,0.007,,
579,0.007,,
580,0.007,,
581,0.007,,
582,0.007,,
583,0.007,,
584,0.007,,
585,0.006,,
586,0.007,,
587,0.007,,
588,0.007,,
589,0.007,,
590,0.008,,
591,0.009,,
592,0.007,,
593,0.007,,
594,0.007,,
595,0.007,,
596,0.008,,
597,0.008,,
598,0.008,,
599,0.007,,
600,0.007,,
601,0.006,,
602,0.008,,
603,0.009,,
604,0.007,,
605,0.007,,
606,0.007,,
607,0.007,,
608,0.009,,
609,0.009,,
610,0.007,,
611,0.007,,
612,0.007,,
613,0.007,,
614,0.007,,
615,0.009,,
616,0.008,,
617,0.008,,
618,0.008,,
619,0.009,,
620,0.007,,
621,0.006,,
622,0.008,,
623,0.008,,
624,0.007,,
625,0.008,,
626,0.007,,
627,0.006,,
628,0.006,,
629,0.007,,
630,0.007,,
631,0.008,,
632,0.008,,
633,0.008,,
634,0.008,,
635,0.007,,
636,0.008,,
637,0.007,,
638,0.007,,
639,0.006,,
640,0.006,,
641,0.006,,
642,0.006,,
643,0.006,,
644,0.007,,
645,0.006,,
646,0.006,,
647,0.006,,
648,0.006,,
649,0.006,,
650,0.006,,
651,0.007,,
652,0.007,,
653,0.007,,
654,0.006,,
655,0.006,,
656,0.006,,
657,0.007,,
658,0.007,,
659,0.007,,
660,0.006,,
661,0.007,,
662,0.008,,
663,0.006,,
664,0.006,,
665,0.007,,
666,0.007,,
667,0.006,,
668,0.006,,
669,0.006,,
670,0.006,,
671,0.006,,
672,0.007,,
673,0.007,,
674,0.007,,
675,0.007,,
676,0.006,,
677,0.006,,
678,0.006,,
679,0.007,,
680,0.006,,
681,0.007,,
682,0.007,,
683,0.007,,
684,0.007,,
685,0.007,,
686,0.008,,
687,0.008,,
688,0.008,,
689,0.008,,
