utc,filter,pm,lat,lon,device
1405626036,,0.008,37.8031583333,-122.294603333,A
1405626037,,0.008,37.803155,-122.29461,A
1405626038,,0.009,37.80314,-122.29461,A
1405626039,,0.008,37.80314,-122.294613333,A
1405626040,,0.007,37.8031316667,-122.294608333,A
1405626041,,0.008,37.8031166667,-122.29461,A
1405626042,,0.008,37.8031116667,-122.29461,A
1405626043,,0.009,37.8031016667,-122.294606667,A
1405626044,,0.008,37.8031033333,-122.294608333,A
1405626045,,0.007,37.8031133333,-122.294605,A
1405626046,,0.007,37.8031216667,-122.294603333,A
1405626047,,0.007,37.8031233333,-122.294603333,A
1405626048,,0.007,37.803125,-122.294596667,A
1405626049,,0.007,37.8031333333,-122.294588333,A
1405626050,,0.008,37.8031483333,-122.294585,A
1405626051,,0.011,37.8031483333,-122.294576667,A
1405626052,,0.009,37.80313,-122.294571667,A
1405626053,,0.008,37.8031,-122.294563333,A
1405626054,,0.008,37.8030833333,-122.294558333,A
1405626055,,0.007,37.8030583333,-122.294556667,A
1405626056,,0.008,37.8030466667,-122.294553333,A
1405626057,,0.007,37.8030433333,-122.294553333,A
1405626058,,0.007,37.803055,-122.294558333,A
1405626059,,0.007,37.803055,-122.294558333,A
1405626060,,0.007,37.8030583333,-122.29456,A
1405626061,,0.008,37.8030666667,-122.294558333,A
1405626062,,0.007,37.803095,-122.294568333,A
1405626063,,0.009,37.8031183333,-122.294576667,A
1405626064,,0.010,37.8031233333,-122.294583333,A
1405626065,,0.007,37.8031283333,-122.294598333,A
1405626066,,0.006,37.8031416667,-122.29461,A
1405626067,,0.006,37.8031433333,-122.294608333,A
1405626068,,0.008,37.8031616667,-122.294603333,A
1405626069,,0.007,37.8031666667,-122.294595,A
1405626070,,0.007,37.8031616667,-122.294585,A
1405626071,,0.009,37.80317,-122.294578333,A
1405626072,,0.009,37.8031616667,-122.294563333,A
1405626073,,0.007,37.8031583333,-122.294573333,A
1405626074,,0.007,37.8031583333,-122.294576667,A
1405626075,,0.007,37.80315,-122.294563333,A
1405626076,,0.008,37.8031433333,-122.294568333,A
1405626077,,0.008,37.80315,-122.294565,A
1405626078,,0.008,37.80314,-122.294556667,A
1405626079,,0.007,37.80312,-122.294543333,A
1405626080,,0.008,37.8031066667,-122.294531667,A
1405626081,,0.007,37.8031033333,-122.29453,A
1405626082,,0.008,37.8031016667,-122.294531667,A
1405626083,,0.008,37.8030933333,-122.294543333,A
1405626084,,0.009,37.8031066667,-122.294558333,A
1405626085,,0.009,37.8031216667,-122.294553333,A
1405626086,,0.007,37.80312,-122.29454,A
1405626087,,0.007,37.8031216667,-122.294538333,A
1405626088,,0.008,37.8031233333,-122.29453,A
1405626089,,0.008,37.8031216667,-122.294516667,A
1405626090,,0.009,37.8031216667,-122.294501667,A
1405626091,,0.013,37.8031183333,-122.294481667,A
1405626092,,0.020,37.8031166667,-122.294456667,A
1405626093,,0.021,37.8031116667,-122.294446667,A
1405626094,,0.018,37.803105,-122.294441667,A
1405626095,,0.018,37.8030966667,-122.294443333,A
1405626096,,0.016,37.8030883333,-122.294423333,A
1405626097,,0.011,37.80309,-122.294423333,A
1405626098,,0.008,37.8030866667,-122.29443,A
1405626099,,0.008,37.8030716667,-122.294435,A
1405626100,,0.007,37.8030583333,-122.29444,A
1405626101,,0.007,37.8030483333,-122.294445,A
1405626102,,0.008,37.80304,-122.294448333,A
1405626103,,0.009,37.8030266667,-122.294453333,A
1405626104,,0.010,37.8030066667,-122.294458333,A
1405626105,,0.010,37.8030016667,-122.29446,A
1405626106,,0.009,37.8029966667,-122.29446,A
1405626107,,0.008,37.802975,-122.294465,A
1405626108,,0.008,37.8029683333,-122.29447,A
1405626109,,0.007,37.8029766667,-122.294468333,A
1405626110,,0.009,37.8029866667,-122.294471667,A
1405626111,,0.009,37.8029816667,-122.294471667,A
1405626112,,0.009,37.802965,-122.294468333,A
1405626113,,0.008,37.8029366667,-122.294458333,A
1405626114,,0.009,37.8029333333,-122.294451667,A
1405626115,,0.009,37.8029216667,-122.294451667,A
1405626116,,0.010,37.8029166667,-122.294451667,A
1405626117,,0.010,37.8029233333,-122.294455,A
1405626118,,0.011,37.8029333333,-122.29446,A
1405626119,,0.009,37.8029416667,-122.294463333,A
1405626120,,0.008,37.8029466667,-122.294465,A
1405626121,,0.009,37.8029533333,-122.294468333,A
1405626122,,0.010,37.80295,-122.294473333,A
1405626123,,0.008,37.8029583333,-122.294476667,A
1405626124,,0.009,37.80298,-122.29448,A
1405626125,,0.009,37.8029933333,-122.294485,A
1405626126,,0.008,37.80301,-122.294486667,A
1405626127,,0.008,37.80303,-122.294486667,A
1405626128,,0.009,37.8030383333,-122.294483333,A
1405626129,,0.008,37.8030283333,-122.294483333,A
1405626130,,0.008,37.8030233333,-122.294485,A
1405626131,,0.009,37.80303,-122.294483333,A
1405626132,,0.008,37.8030366667,-122.294485,A
1405626133,,0.009,37.8030366667,-122.29448,A
1405626134,,0.008,37.8030333333,-122.29448,A
1405626135,,0.008,37.8030416667,-122.294488333,A
1405626136,,0.009,37.80304,-122.2945,A
1405626137,,0.009,37.8030483333,-122.29451,A
1405626138,,0.009,37.8030433333,-122.294511667,A
1405626139,,0.009,37.8030316667,-122.294511667,A
1405626140,,0.009,37.8030233333,-122.294511667,A
1405626141,,0.009,37.8030316667,-122.294516667,A
1405626142,,0.008,37.8030266667,-122.29451,A
1405626143,,0.009,37.80303,-122.294513333,A
1405626144,,0.009,37.80303,-122.294516667,A
1405626145,,0.008,37.803025,-122.294521667,A
1405626146,,0.008,37.80302,-122.294535,A
1405626147,,0.008,37.8030183333,-122.294543333,A
1405626148,,0.008,37.80301,-122.294528333,A
1405626149,,0.008,37.8030166667,-122.294525,A
1405626150,,0.009,37.8030233333,-122.294523333,A
1405626151,,0.009,37.8030366667,-122.294508333,A
1405626152,,0.009,37.8030633333,-122.294486667,A
1405626153,,0.009,37.8030716667,-122.294478333,A
1405626154,,0.009,37.80307,-122.294463333,A
1405626155,,0.008,37.8030683333,-122.294463333,A
1405626156,,0.008,37.8030383333,-122.294468333,A
1405626157,,0.008,37.8030416667,-122.294476667,A
1405626158,,0.008,37.8030483333,-122.294485,A
1405626159,,0.008,37.8030466667,-122.294491667,A
1405626160,,0.009,37.8030566667,-122.294498333,A
1405626161,,0.008,37.8030633333,-122.294511667,A
1405626162,,0.008,37.8030533333,-122.294505,A
1405626163,,0.009,37.80304,-122.294506667,A
1405626164,,0.009,37.8030216667,-122.294508333,A
1405626165,,0.011,37.8030066667,-122.294516667,A
1405626166,,0.009,37.80299,-122.294521667,A
1405626167,,0.009,37.80298,-122.294515,A
1405626168,,0.009,37.8029683333,-122.294503333,A
1405626169,,0.008,37.80294,-122.294491667,A
1405626170,,0.008,37.8029233333,-122.294481667,A
1405626171,,0.008,37.802915,-122.294471667,A
1405626172,,0.008,37.8029033333,-122.294483333,A
1405626173,,0.008,37.8028833333,-122.294495,A
1405626174,,0.009,37.8028666667,-122.2945,A
1405626175,,0.009,37.8028433333,-122.294495,A
1405626176,,0.008,37.8028466667,-122.294506667,A
1405626177,,0.007,37.8028616667,-122.294501667,A
1405626178,,0.008,37.8028583333,-122.29451,A
1405626179,,0.009,37.80285,-122.294511667,A
1405626180,,0.009,37.8028283333,-122.294518333,A
1405626181,,0.008,37.80283,-122.294535,A
1405626182,,0.009,37.8028183333,-122.294536667,A
1405626183,,0.009,37.8028,-122.29454,A
1405626184,,0.009,37.80278,-122.294543333,A
1405626185,,0.008,37.8027666667,-122.294545,A
1405626186,,0.009,37.80276,-122.294548333,A
1405626187,,0.008,37.802755,-122.294548333,A
1405626188,,0.009,37.8027533333,-122.294546667,A
1405626189,,0.008,37.8027466667,-122.294546667,A
1405626190,,0.009,37.8027483333,-122.294548333,A
1405626191,,0.009,37.802745,-122.294545,A
1405626192,,0.010,37.8027316667,-122.294543333,A
1405626193,,0.009,37.80272,-122.29455,A
1405626194,,0.008,37.80271,-122.29455,A
1405626195,,0.009,37.8026966667,-122.294543333,A
1405626196,,0.009,37.802685,-122.294545,A
1405626197,,0.008,37.80268,-122.29454,A
1405626198,,0.008,37.8026666667,-122.294538333,A
1405626199,,0.008,37.8026466667,-122.294528333,A
1405626200,,0.008,37.8026283333,-122.294526667,A
1405626201,,0.008,37.8026116667,-122.29453,A
1405626202,,0.009,37.8026033333,-122.294531667,A
1405626203,,0.009,37.8025966667,-122.294531667,A
1405626204,,0.009,37.8026,-122.294541667,A
1405626205,,0.009,37.8025983333,-122.294555,A
1405626206,,0.009,37.8025833333,-122.294566667,A
1405626207,,0.009,37.8025733333,-122.29458,A
1405626208,,0.009,37.8025733333,-122.294593333,A
1405626209,,0.009,37.80258,-122.294603333,A
1405626210,,0.008,37.80258,-122.294613333,A
1405626211,,0.009,37.8025766667,-122.294623333,A
1405626212,,0.009,37.8025816667,-122.294638333,A
1405626213,,0.008,37.80258,-122.294653333,A
1405626214,,0.008,37.80259,-122.29467,A
1405626215,,0.009,37.8025833333,-122.294676667,A
1405626216,,0.009,37.8025866667,-122.29469,A
1405626217,,0.010,37.80258,-122.294705,A
1405626218,,0.009,37.8025833333,-122.294713333,A
1405626219,,0.008,37.8025633333,-122.294703333,A
1405626220,,0.008,37.80254,-122.2947,A
1405626221,,0.009,37.802525,-122.294706667,A
1405626222,,0.007,37.802515,-122.294706667,A
1405626223,,0.007,37.8024883333,-122.294688333,A
1405626224,,0.008,37.8024766667,-122.294691667,A
1405626225,,0.008,37.8024766667,-122.294681667,A
1405626226,,0.008,37.8024766667,-122.294683333,A
1405626227,,0.008,37.802485,-122.2947,A
1405626228,,0.008,37.80249,-122.294726667,A
1405626229,,0.008,37.80249,-122.294741667,A
1405626230,,0.008,37.802485,-122.294761667,A
1405626231,,0.008,37.8024866667,-122.294783333,A
1405626232,,0.007,37.8024716667,-122.294785,A
1405626233,,0.008,37.8024433333,-122.294776667,A
1405626234,,0.009,37.802445,-122.294783333,A
1405626235,,0.008,37.8024266667,-122.294796667,A
1405626236,,0.008,37.80242,-122.294813333,A
1405626237,,0.008,37.802405,-122.294818333,A
1405626238,,0.009,37.8023933333,-122.294826667,E
1405626239,,0.009,37.80238,-122.294855,A
1405626240,,0.008,37.802385,-122.294871667,A
1405626241,,0.007,37.8023816667,-122.294893333,A
1405626242,,0.007,37.8023916667,-122.294915,A
1405626243,,0.009,37.8023783333,-122.294935,A
1405626244,,0.009,37.8023733333,-122.294945,A
1405626245,,0.008,37.8023666667,-122.294948333,A
