utc,filter,pm,lat,lon
1345591776,2.5,0.027,37.813137,-122.297855
1345591777,2.5,0.028,37.813145,-122.297865
1345591778,2.5,0.029,37.813155,-122.297887
1345591779,2.5,0.027,37.813153,-122.297907
1345591780,2.5,0.024,37.81315,-122.297922
1345591781,2.5,0.024,37.813148,-122.297912
1345591782,2.5,0.024,37.813148,-122.297902
1345591783,2.5,0.023,37.813153,-122.29789
1345591784,2.5,0.022,37.81315,-122.297897
1345591785,2.5,0.024,37.813143,-122.297907
1345591786,2.5,0.024,37.813133,-122.297912
1345591787,2.5,0.025,37.81312,-122.297913
1345591788,2.5,0.024,37.813108,-122.297918
1345591789,2.5,0.024,37.813097,-122.297918
1345591790,2.5,0.023,37.81309,-122.297927
1345591791,2.5,0.022,37.813083,-122.297928
1345591792,2.5,0.022,37.813078,-122.297927
1345591793,2.5,0.022,37.813077,-122.297927
1345591794,2.5,0.024,37.813075,-122.297933
1345591795,2.5,0.023,37.813077,-122.297947
1345591796,2.5,0.024,37.813077,-122.297948
1345591797,2.5,0.022,37.813075,-122.297953
1345591798,2.5,0.023,37.813073,-122.297968
1345591799,2.5,0.023,37.813072,-122.297968
1345591800,2.5,0.023,37.813068,-122.297958
1345591801,2.5,0.023,37.81307,-122.297945
1345591802,2.5,0.024,37.813068,-122.297935
1345591803,2.5,0.024,37.813068,-122.297927
1345591804,2.5,0.021,37.81307,-122.29792
1345591805,2.5,0.022,37.81307,-122.297917
1345591806,2.5,0.022,37.813075,-122.29791
1345591807,2.5,0.022,37.813078,-122.297907
1345591808,2.5,0.023,37.813078,-122.29791
1345591809,2.5,0.022,37.813077,-122.297912
1345591810,2.5,0.021,37.813077,-122.297923
1345591811,2.5,0.022,37.813075,-122.297925
1345591812,2.5,0.026,37.813072,-122.29792
1345591813,2.5,0.026,37.81307,-122.297927
1345591814,2.5,0.022,37.813068,-122.297933
1345591815,2.5,0.021,37.813065,-122.29794
1345591816,2.5,0.022,37.813065,-122.297948
1345591817,2.5,0.022,37.813067,-122.29794
1345591818,2.5,0.024,37.813062,-122.297923
1345591819,2.5,0.025,37.813057,-122.297908
1345591820,2.5,0.021,37.813053,-122.29788
1345591821,2.5,0.023,37.813053,-122.297858
1345591822,2.5,0.024,37.813052,-122.297845
1345591823,2.5,0.024,37.81305,-122.297843
1345591824,2.5,0.021,37.81305,-122.297845
1345591825,2.5,0.021,37.813048,-122.29784
1345591826,2.5,0.022,37.813048,-122.29785
1345591827,2.5,0.022,37.813055,-122.297858
1345591828,2.5,0.022,37.81306,-122.297868
1345591829,2.5,0.023,37.813067,-122.297872
1345591830,2.5,0.023,37.813068,-122.297865
1345591831,2.5,0.024,37.81307,-122.297863
1345591832,2.5,0.023,37.813063,-122.29787
1345591833,2.5,0.021,37.81306,-122.297873
1345591834,2.5,0.021,37.813055,-122.297872
1345591835,2.5,0.023,37.813057,-122.297868
1345591836,2.5,0.023,37.813057,-122.297865
1345591837,2.5,0.023,37.813057,-122.297865
1345591838,2.5,0.022,37.813055,-122.29787
1345591839,2.5,0.023,37.813052,-122.297875
1345591840,2.5,0.021,37.813052,-122.297885
1345591841,2.5,0.02,37.813055,-122.297898
1345591842,2.5,0.022,37.813055,-122.297907
1345591843,2.5,0.022,37.813048,-122.297915
1345591844,2.5,0.02,37.813043,-122.297927
1345591845,2.5,0.021,37.813038,-122.297932
1345591846,2.5,0.022,37.813032,-122.297935
1345591847,2.5,0.022,37.813027,-122.29794
1345591848,2.5,0.022,37.813017,-122.297948
1345591849,2.5,0.022,37.813005,-122.297948
1345591850,2.5,0.022,37.812992,-122.297947
1345591851,2.5,0.022,37.812987,-122.297945
1345591852,2.5,0.022,37.81298,-122.297938
1345591853,2.5,0.022,37.812975,-122.297933
1345591854,2.5,0.023,37.812965,-122.297937
1345591855,2.5,0.023,37.812952,-122.297943
1345591856,2.5,0.022,37.81294,-122.297953
1345591857,2.5,0.021,37.81293,-122.297963
1345591858,2.5,0.022,37.81292,-122.297967
1345591859,2.5,0.022,37.812907,-122.297973
1345591860,2.5,0.021,37.812892,-122.297978
1345591861,2.5,0.021,37.812872,-122.297982
1345591862,2.5,0.021,37.812858,-122.297982
1345591863,2.5,0.021,37.81284,-122.297978
1345591864,2.5,0.022,37.812823,-122.297973
1345591865,2.5,0.022,37.812803,-122.297972
1345591866,2.5,0.022,37.812798,-122.297973
1345591867,2.5,0.02,37.812792,-122.297977
1345591868,2.5,0.021,37.812783,-122.297977
1345591869,2.5,0.021,37.812773,-122.297973
1345591870,2.5,0.022,37.812757,-122.297972
1345591871,2.5,0.02,37.812738,-122.29797
1345591872,2.5,0.02,37.812722,-122.297975
1345591873,2.5,0.021,37.812705,-122.297978
1345591874,2.5,0.02,37.81269,-122.297982
1345591875,2.5,0.021,37.812677,-122.297988
1345591876,2.5,0.022,37.812672,-122.297992
1345591877,2.5,0.021,37.812668,-122.297997
1345591878,2.5,0.021,37.812668,-122.298005
1345591879,2.5,0.023,37.812668,-122.298008
1345591880,2.5,0.023,37.812662,-122.298017
1345591881,2.5,0.022,37.81265,-122.298025
1345591882,2.5,0.022,37.812633,-122.298032
1345591883,2.5,0.022,37.812618,-122.298037
1345591884,2.5,0.022,37.812603,-122.298043
1345591885,2.5,0.022,37.812592,-122.29805
1345591886,2.5,0.02,37.812587,-122.298055
1345591887,2.5,0.021,37.81258,-122.29806
1345591888,2.5,0.021,37.812567,-122.298063
1345591889,2.5,0.022,37.812555,-122.298068
1345591890,2.5,0.023,37.812535,-122.298068
1345591891,2.5,0.021,37.812513,-122.298072
1345591892,2.5,0.021,37.812488,-122.298073
1345591893,2.5,0.022,37.81247,-122.298075
1345591894,2.5,0.023,37.81246,-122.298077
1345591895,2.5,0.024,37.812448,-122.298077
1345591896,2.5,0.022,37.81245,-122.298085
1345591897,2.5,0.022,37.812452,-122.2981
1345591898,2.5,0.022,37.812438,-122.298157
1345591899,2.5,0.02,37.812435,-122.29816
1345591900,2.5,0.019,37.812432,-122.298155
1345591901,2.5,0.02,37.812433,-122.298152
1345591902,2.5,0.021,37.812433,-122.298148
1345591903,2.5,0.021,37.812433,-122.298147
1345591904,2.5,0.021,37.812435,-122.298143
1345591905,2.5,0.022,37.812408,-122.298145
1345591906,2.5,0.022,37.812418,-122.298203
1345591907,2.5,0.022,37.812423,-122.298245
1345591908,2.5,0.021,37.812428,-122.298283
1345591909,2.5,0.021,37.812432,-122.298302
