utc,filter,pm,lat,lon
1318532979,2.5,0.042,37.831378,-122.256028
1318532980,2.5,0.031,37.831378,-122.256028
1318532981,2.5,0.035,37.83138,-122.256032
1318532982,2.5,0.035,37.83138,-122.256033
1318532983,2.5,0.034,37.831383,-122.256033
1318532984,2.5,0.035,37.831392,-122.256032
1318532985,2.5,0.034,37.831392,-122.25603
1318532986,2.5,0.032,37.831397,-122.25603
1318532987,2.5,0.031,37.8314,-122.256028
1318532988,2.5,0.032,37.831403,-122.256028
1318532989,2.5,0.033,37.831405,-122.256027
1318532990,2.5,0.035,37.831407,-122.256025
1318532991,2.5,0.036,37.831408,-122.256023
1318532992,2.5,0.035,37.83141,-122.256025
1318532993,2.5,0.036,37.831405,-122.256025
1318532994,2.5,0.038,37.831402,-122.256025
1318532995,2.5,0.036,37.8314,-122.256025
1318532996,2.5,0.034,37.8314,-122.256025
1318532997,2.5,0.032,37.831402,-122.256023
1318532998,2.5,0.033,37.831402,-122.256022
1318532999,2.5,0.034,37.831398,-122.256025
1318533000,2.5,0.035,37.831388,-122.256022
1318533001,2.5,0.034,37.831388,-122.256018
1318533002,2.5,0.034,37.831388,-122.256028
1318533003,2.5,0.035,37.83139,-122.256033
1318533004,2.5,0.035,37.831395,-122.256035
1318533005,2.5,0.034,37.831397,-122.256035
1318533006,2.5,0.033,37.831393,-122.256045
1318533007,2.5,0.034,37.831392,-122.256052
1318533008,2.5,0.034,37.831393,-122.256052
1318533009,2.5,0.033,37.831388,-122.256053
1318533010,2.5,0.035,37.831383,-122.256055
1318533011,2.5,0.036,37.83138,-122.256057
1318533012,2.5,0.035,37.831372,-122.256067
1318533013,2.5,0.035,37.831365,-122.256068
1318533014,2.5,0.034,37.831358,-122.256068
1318533015,2.5,0.036,37.831352,-122.256067
1318533016,2.5,0.036,37.831355,-122.256065
1318533017,2.5,0.035,37.831355,-122.256055
1318533018,2.5,0.033,37.83136,-122.25606
1318533019,2.5,0.034,37.831365,-122.256065
1318533020,2.5,0.035,37.831375,-122.256062
1318533021,2.5,0.035,37.831385,-122.256055
1318533022,2.5,0.034,37.83139,-122.256052
1318533023,2.5,0.035,37.831397,-122.256048
1318533024,2.5,0.031,37.831393,-122.256047
1318533025,2.5,0.032,37.831398,-122.256043
1318533026,2.5,0.034,37.831393,-122.256042
1318533027,2.5,0.031,37.831405,-122.256037
1318533028,2.5,0.033,37.831405,-122.25604
1318533029,2.5,0.033,37.831398,-122.25604
1318533030,2.5,0.03,37.831398,-122.256035
1318533031,2.5,0.035,37.831403,-122.256028
1318533032,2.5,0.034,37.831405,-122.256028
1318533033,2.5,0.035,37.831408,-122.256032
1318533034,2.5,0.039,37.831417,-122.256035
1318533035,2.5,0.034,37.831422,-122.256025
1318533036,2.5,0.032,37.831437,-122.256017
1318533037,2.5,0.033,37.831428,-122.256018
1318533038,2.5,0.036,37.831432,-122.25602
1318533039,2.5,0.035,37.831438,-122.256015
1318533040,2.5,0.034,37.831442,-122.256012
1318533041,2.5,0.035,37.831443,-122.256005
1318533042,2.5,0.035,37.831442,-122.256007
1318533043,2.5,0.034,37.831435,-122.256018
1318533044,2.5,0.035,37.83143,-122.256025
1318533045,2.5,0.035,37.831422,-122.256033
1318533046,2.5,0.036,37.831423,-122.256028
1318533047,2.5,0.036,37.831427,-122.25603
1318533048,2.5,0.035,37.831438,-122.256023
1318533049,2.5,0.035,37.83144,-122.256017
1318533050,2.5,0.034,37.831438,-122.256013
1318533051,2.5,0.034,37.831427,-122.256017
1318533052,2.5,0.035,37.831418,-122.25602
1318533053,2.5,0.035,37.831407,-122.256022
1318533054,2.5,0.035,37.8314,-122.256023
1318533055,2.5,0.035,37.831393,-122.256027
1318533056,2.5,0.036,37.831387,-122.256027
1318533057,2.5,0.036,37.831375,-122.256033
1318533058,2.5,0.036,37.831372,-122.256033
1318533059,2.5,0.035,37.831368,-122.256033
1318533060,2.5,0.035,37.831367,-122.256035
1318533061,2.5,0.037,37.831365,-122.256035
1318533062,2.5,0.037,37.831362,-122.256033
1318533063,2.5,0.034,37.831362,-122.25603
1318533064,2.5,0.034,37.831363,-122.256028
1318533065,2.5,0.033,37.83137,-122.256025
1318533066,2.5,0.034,37.831375,-122.256027
1318533067,2.5,0.033,37.831377,-122.256028
1318533068,2.5,0.034,37.831373,-122.256035
1318533069,2.5,0.036,37.831372,-122.256035
1318533070,2.5,0.033,37.83137,-122.256037
1318533071,2.5,0.034,37.831368,-122.256038
1318533072,2.5,0.035,37.831368,-122.25604
1318533073,2.5,0.034,37.831363,-122.256048
1318533074,2.5,0.036,37.831357,-122.256058
1318533075,2.5,0.037,37.831357,-122.256062
1318533076,2.5,0.037,37.831367,-122.256052
1318533077,2.5,0.036,37.831372,-122.25605
1318533078,2.5,0.034,37.83138,-122.25604
1318533079,2.5,0.036,37.831387,-122.256033
1318533080,2.5,0.037,37.831393,-122.256028
1318533081,2.5,0.033,37.831398,-122.256022
1318533082,2.5,0.033,37.831405,-122.256015
1318533083,2.5,0.035,37.831402,-122.25602
1318533084,2.5,0.036,37.831397,-122.256027
1318533085,2.5,0.036,37.83139,-122.256035
1318533086,2.5,0.035,37.831385,-122.256043
1318533087,2.5,0.034,37.831382,-122.25605
1318533088,2.5,0.034,37.831377,-122.256055
1318533089,2.5,0.036,37.831373,-122.25606
1318533090,2.5,0.037,37.83137,-122.256063
1318533091,2.5,0.036,37.831368,-122.25607
1318533092,2.5,0.036,37.831367,-122.256072
1318533093,2.5,0.034,37.831367,-122.256073
1318533094,2.5,0.034,37.831368,-122.256072
1318533095,2.5,0.034,37.83137,-122.25607
1318533096,2.5,0.033,37.831365,-122.256077
1318533097,2.5,0.034,37.831363,-122.256082
1318533098,2.5,0.035,37.831355,-122.256088
1318533099,2.5,0.035,37.831352,-122.256095
1318533100,2.5,0.035,37.831343,-122.256105
1318533101,2.5,0.035,37.831338,-122.25611
1318533102,2.5,0.035,37.831338,-122.25611
1318533103,2.5,0.036,37.831343,-122.256103
1318533104,2.5,0.035,37.831347,-122.2561
1318533105,2.5,0.037,37.83135,-122.256093
1318533106,2.5,0.036,37.831352,-122.256087
1318533107,2.5,0.033,37.831355,-122.256083
1318533108,2.5,0.032,37.831358,-122.25608
1318533109,2.5,0.033,37.831358,-122.256077
1318533110,2.5,0.034,37.831355,-122.256083
1318533111,2.5,0.034,37.831353,-122.25608
1318533112,2.5,0.033,37.831353,-122.25608
1318533113,2.5,0.032,37.831353,-122.25608
1318533114,2.5,0.032,37.831353,-122.256078
1318533115,2.5,0.032,37.831353,-122.256077
1318533116,2.5,0.032,37.831353,-122.256077
1318533117,2.5,0.031,37.831353,-122.256075
1318533118,2.5,0.031,37.831353,-122.256073
1318533119,2.5,0.034,37.831353,-122.256073
1318533120,2.5,0.033,37.831355,-122.25607
1318533121,2.5,0.034,37.831373,-122.256065
1318533122,2.5,0.034,37.831383,-122.256057
1318533123,2.5,0.032,37.831397,-122.256052
1318533124,2.5,0.034,37.831408,-122.25605
1318533125,2.5,0.034,37.83142,-122.256048
1318533126,2.5,0.033,37.831423,-122.256047
1318533127,2.5,0.034,37.831425,-122.256043
1318533128,2.5,0.033,37.83143,-122.256042
1318533129,2.5,0.033,37.831427,-122.256038
1318533130,2.5,0.033,37.831427,-122.256035
1318533131,2.5,0.034,37.831428,-122.256035
1318533132,2.5,0.036,37.831432,-122.25603
1318533133,2.5,0.036,37.831437,-122.256025
1318533134,2.5,0.034,37.83144,-122.25602
1318533135,2.5,0.033,37.83144,-122.256023
1318533136,2.5,0.034,37.831435,-122.256023
1318533137,2.5,0.035,37.831435,-122.25603
1318533138,2.5,0.034,37.831425,-122.256033
1318533139,2.5,0.033,37.831427,-122.256035
1318533140,2.5,0.035,37.831423,-122.256038
1318533141,2.5,0.035,37.831417,-122.256035
1318533142,2.5,0.034,37.831408,-122.25603
1318533143,2.5,0.035,37.831407,-122.256022
1318533144,2.5,0.036,37.831403,-122.25601
1318533145,2.5,0.036,37.831412,-122.255993
1318533146,2.5,0.036,37.831405,-122.256002
1318533147,2.5,0.036,37.831413,-122.255993
1318533148,2.5,0.036,37.831423,-122.255978
1318533149,2.5,0.035,37.83144,-122.255983
1318533150,2.5,0.035,37.831458,-122.25599
1318533151,2.5,0.035,37.831462,-122.255995
1318533152,2.5,0.036,37.831457,-122.256003
1318533153,2.5,0.035,37.83144,-122.25601
1318533154,2.5,0.035,37.831432,-122.256012
1318533155,2.5,0.037,37.831428,-122.256012
1318533156,2.5,0.037,37.831427,-122.255992
1318533157,2.5,0.037,37.831428,-122.255975
1318533158,2.5,0.033,37.831428,-122.25598
1318533159,2.5,0.034,37.83143,-122.255977
1318533160,2.5,0.038,37.831442,-122.255978
1318533161,2.5,0.043,37.831437,-122.255972
1318533162,2.5,0.039,37.831437,-122.255962
1318533163,2.5,0.043,37.831435,-122.255953
1318533164,2.5,0.045,37.831438,-122.255948
1318533165,2.5,0.031,37.831427,-122.255955
1318533166,2.5,0.026,37.831422,-122.255968
1318533167,2.5,0.025,37.83142,-122.255965
1318533168,2.5,0.024,37.831427,-122.255978
1318533169,2.5,0.024,37.83143,-122.255963
1318533170,2.5,0.025,37.831432,-122.255983
1318533171,2.5,0.025,37.831413,-122.255992
1318533172,2.5,0.025,37.831405,-122.255985
1318533173,2.5,0.024,37.831412,-122.255977
1318533174,2.5,0.024,37.831415,-122.25598
1318533175,2.5,0.022,37.831427,-122.25597
1318533176,2.5,0.023,37.831432,-122.255968
1318533177,2.5,0.023,37.831422,-122.255955
1318533178,2.5,0.023,37.831422,-122.25593
1318533179,2.5,0.022,37.831423,-122.255915
1318533180,2.5,0.023,37.831433,-122.255878
1318533181,2.5,0.023,37.831452,-122.255832
1318533182,2.5,0.023,37.831468,-122.255802
1318533183,2.5,0.023,37.831468,-122.255768
1318533184,2.5,0.021,37.83147,-122.255728
1318533185,2.5,0.022,37.831478,-122.255728
1318533186,2.5,0.023,37.83146,-122.25575
1318533187,2.5,0.024,37.831447,-122.25576
1318533188,2.5,0.023,37.831432,-122.255797
1318533189,2.5,0.023,37.831417,-122.255823
1318533190,2.5,0.023,37.831417,-122.255838
1318533191,2.5,0.023,37.831415,-122.255855
1318533192,2.5,0.023,37.831418,-122.255888
1318533193,2.5,0.023,37.831425,-122.255897
1318533194,2.5,0.024,37.831423,-122.255917
1318533195,2.5,0.025,37.831417,-122.255923
1318533196,2.5,0.025,37.831422,-122.255945
1318533197,2.5,0.024,37.83142,-122.255947
1318533198,2.5,0.022,37.831423,-122.255948
1318533199,2.5,0.023,37.831427,-122.255952
1318533200,2.5,0.024,37.831442,-122.25595
1318533201,2.5,0.025,37.831448,-122.255965
1318533202,2.5,0.026,37.831445,-122.255973
1318533203,2.5,0.024,37.831435,-122.255985
1318533204,2.5,0.025,37.831425,-122.255972
1318533205,2.5,0.025,37.831415,-122.25597
1318533206,2.5,0.024,37.831413,-122.255983
1318533207,2.5,0.025,37.831418,-122.256013
1318533208,2.5,0.025,37.831428,-122.256038
1318533209,2.5,0.025,37.831448,-122.256055
1318533210,2.5,0.025,37.83146,-122.256072
1318533211,2.5,0.027,37.831473,-122.256068
1318533212,2.5,0.026,37.831493,-122.256073
1318533213,2.5,0.025,37.831503,-122.256068
1318533214,2.5,0.025,37.83153,-122.256077
1318533215,2.5,0.024,37.83157,-122.256085
1318533216,2.5,0.025,37.831578,-122.256083
1318533217,2.5,0.024,37.83159,-122.256087
1318533218,2.5,0.025,37.831577,-122.256098
1318533219,2.5,0.026,37.83157,-122.25611
1318533220,2.5,0.024,37.831567,-122.256117
1318533221,2.5,0.024,37.83156,-122.256112
1318533222,2.5,0.025,37.831542,-122.25612
1318533223,2.5,0.026,37.831523,-122.256113
1318533224,2.5,0.026,37.831527,-122.256098
1318533225,2.5,0.027,37.831515,-122.256088
1318533226,2.5,0.026,37.831512,-122.256082
1318533227,2.5,0.027,37.831498,-122.256075
1318533228,2.5,0.025,37.831497,-122.256075
1318533229,2.5,0.027,37.831503,-122.256083
1318533230,2.5,0.027,37.831508,-122.256087
1318533231,2.5,0.026,37.831513,-122.256077
1318533232,2.5,0.024,37.831522,-122.256063
1318533233,2.5,0.025,37.83154,-122.256065
1318533234,2.5,0.025,37.831572,-122.256068
1318533235,2.5,0.025,37.831605,-122.256065
1318533236,2.5,0.024,37.831612,-122.256063
1318533237,2.5,0.026,37.831642,-122.256048
1318533238,2.5,0.024,37.831662,-122.256035
1318533239,2.5,0.023,37.831657,-122.256023
1318533240,2.5,0.025,37.831645,-122.256008
1318533241,2.5,0.027,37.831648,-122.256007
1318533242,2.5,0.031,37.831633,-122.256012
1318533243,2.5,0.035,37.83164,-122.25601
1318533244,2.5,0.034,37.831633,-122.256005
1318533245,2.5,0.033,37.83163,-122.256005
1318533246,2.5,0.032,37.831637,-122.256
1318533247,2.5,0.032,37.831643,-122.256
1318533248,2.5,0.033,37.831643,-122.256
1318533249,2.5,0.034,37.831662,-122.256
1318533250,2.5,0.034,37.83167,-122.255992
1318533251,2.5,0.034,37.831687,-122.256002
1318533252,2.5,0.034,37.8317,-122.25601
1318533253,2.5,0.032,37.831713,-122.256005
1318533254,2.5,0.033,37.831723,-122.255993
1318533255,2.5,0.034,37.831725,-122.255988
1318533256,2.5,0.034,37.831733,-122.255978
1318533257,2.5,0.034,37.831742,-122.25597
