utc,filter,pm,lat,lon
1310501896,2.5,0.009,37.813263,-122.297695
1310501897,2.5,0.009,37.813263,-122.297698
1310501898,2.5,0.011,37.813253,-122.297685
1310501899,2.5,0.01,37.813243,-122.29767
1310501900,2.5,0.009,37.813232,-122.297655
1310501901,2.5,0.009,37.813227,-122.297638
1310501902,2.5,0.01,37.813218,-122.297622
1310501903,2.5,0.01,37.813215,-122.297608
1310501904,2.5,0.01,37.813217,-122.297588
1310501905,2.5,0.009,37.81322,-122.297575
1310501906,2.5,0.009,37.813225,-122.297565
1310501907,2.5,0.009,37.81323,-122.297555
1310501908,2.5,0.01,37.813248,-122.297542
1310501909,2.5,0.009,37.813233,-122.297523
1310501910,2.5,0.01,37.813218,-122.2975
1310501911,2.5,0.01,37.813223,-122.297485
1310501912,2.5,0.009,37.813225,-122.297467
1310501913,2.5,0.009,37.813225,-122.297445
1310501914,2.5,0.009,37.813238,-122.297423
1310501915,2.5,0.009,37.81324,-122.297412
1310501916,2.5,0.009,37.813242,-122.2974
1310501917,2.5,0.009,37.813247,-122.297392
1310501918,2.5,0.009,37.81325,-122.297397
1310501919,2.5,0.009,37.813252,-122.297398
1310501920,2.5,0.01,37.813253,-122.297392
1310501921,2.5,0.01,37.813263,-122.29739
1310501922,2.5,0.01,37.813258,-122.297377
1310501923,2.5,0.01,37.81325,-122.297375
1310501924,2.5,0.01,37.813243,-122.297375
1310501925,2.5,0.01,37.813242,-122.297372
1310501926,2.5,0.009,37.813237,-122.297362
1310501927,2.5,0.01,37.813222,-122.297337
1310501928,2.5,0.01,37.8132,-122.297303
1310501929,2.5,0.01,37.813192,-122.297287
1310501930,2.5,0.011,37.813193,-122.297268
1310501931,2.5,0.011,37.813198,-122.297258
1310501932,2.5,0.009,37.813177,-122.297247
1310501933,2.5,0.01,37.813175,-122.297242
1310501934,2.5,0.011,37.813165,-122.297237
1310501935,2.5,0.011,37.813163,-122.297235
1310501936,2.5,0.011,37.813158,-122.297225
1310501937,2.5,0.011,37.813148,-122.297212
1310501938,2.5,0.01,37.813143,-122.297205
1310501939,2.5,0.011,37.813137,-122.297198
1310501940,2.5,0.01,37.813132,-122.29719
1310501941,2.5,0.011,37.813122,-122.297178
1310501942,2.5,0.01,37.813118,-122.29717
1310501943,2.5,0.01,37.813113,-122.297158
1310501944,2.5,0.012,37.813107,-122.297148
1310501945,2.5,0.011,37.813105,-122.297143
1310501946,2.5,0.01,37.813097,-122.297142
1310501947,2.5,0.01,37.813095,-122.297155
1310501948,2.5,0.01,37.813095,-122.297147
1310501949,2.5,0.011,37.813088,-122.297125
1310501950,2.5,0.011,37.813077,-122.29711
1310501951,2.5,0.01,37.813063,-122.297105
1310501952,2.5,0.01,37.813052,-122.297093
1310501953,2.5,0.009,37.813033,-122.297083
1310501954,2.5,0.009,37.81303,-122.29707
1310501955,2.5,0.009,37.813028,-122.297057
1310501956,2.5,0.009,37.813023,-122.29704
1310501957,2.5,0.01,37.813012,-122.297028
1310501958,2.5,0.011,37.813002,-122.297023
1310501959,2.5,0.011,37.812995,-122.29701
1310501960,2.5,0.01,37.812987,-122.296997
1310501961,2.5,0.01,37.812983,-122.296977
1310501962,2.5,0.01,37.812978,-122.296963
1310501963,2.5,0.01,37.812975,-122.296947
1310501964,2.5,0.009,37.812958,-122.296918
1310501965,2.5,0.01,37.81294,-122.296907
